No,nama daerah jawa barat ,Ekonomi,Perselisihan,Meninggalkan Salah Satu,KDRT
1,BANDUNG,2996,6357,761,90
2,BEKASI,986,2521,399,37
3,BOGOR,381,900,199,15
4,CIAMIS,7096,1149,236,19
5,CIANJUR,1689,2759,411,5
6,CIBADAK ,316,3198,192,13
7,CIBINONG,2849,4529,889,53
8,CIKARANG,255,3783,647,154
9,CIMAHI,3527,4593,1600,79
10,CIREBON,255,596,237,64
11,DEPOK,1317,3453,816,232
12,GARUT,5839,1825,470,49
13,INDRAMAYU,10310,3168,464,22
14,KARAWANG,2066,3233,533,10
15,KOTA BANJAR,422,797,68,22
16,KOTA TASIKMALAYA,1220,2084,182,15
17,KUNINGAN,3268,1397,268,51
18,MAJALENGKA,4852,1099,388,19
19,NGAMPRAH,867,1950,125,83
20,PURWAKARTA,1406,985,471,34
21,SOREANG,31,6593,21,2
22,SUBANG,2507,2232,665,14
23,SUKABUMI,109,944,157,15
24,SUMBER,7538,3100,2588,13
25,SUMEDANG,4331,2647,361,10
26,TASIKMALAYA,5187,1937,232,6
